symbol,timestamp,entry,direction,tp_40_hit,tp_60_hit,tp_80_hit,tp_100_hit
1000RATSUSDT,2024-01-05 10:43:01+00:00,0.2525,Short,False,False,False,False
1000RATSUSDT,2024-01-11 23:41:41+00:00,0.2796,Long,False,False,False,False
1000RATSUSDT,2024-01-13 12:51:13+00:00,0.2493,Short,False,False,False,False
JTOUSDT,2024-01-13 15:44:27+00:00,2.203,Long,False,False,False,False
1000RATSUSDT,2024-01-14 08:06:09+00:00,0.3609,Long,False,False,False,False
1000RATSUSDT,2024-01-14 22:33:19+00:00,0.3046,Short,False,False,False,False
WIFUSDT,2024-01-14 22:35:16+00:00,0.3566,Long,True,True,True,True
WIFUSDT,2024-01-17 13:32:40+00:00,0.3768,Long,True,True,True,True
JTOUSDT,2024-01-18 10:11:25+00:00,2.404,Short,False,False,False,False
WIFUSDT,2024-01-19 16:10:06+00:00,0.3559,Short,True,True,True,True
SEIUSDT,2024-01-22 10:43:22+00:00,0.598,Short,False,False,False,False
1000PEPEUSDT,2024-01-23 10:04:51+00:00,0.001025,Short,True,True,True,True
WIFUSDT,2024-01-24 14:33:03+00:00,0.3313,Long,True,True,True,True
1000RATSUSDT,2024-01-26 12:13:39+00:00,0.2485,Long,False,False,False,False
WIFUSDT,2024-01-28 12:01:54+00:00,0.3717,Long,True,True,True,True
MYROUSDT,2024-01-29 10:32:38+00:00,0.1334,Short,False,False,False,False
BAKEUSDT,2024-01-29 19:41:54+00:00,0.3592,Long,False,False,False,False
WIFUSDT,2024-01-30 17:52:59+00:00,0.2968,Short,True,True,True,True
SEIUSDT,2024-01-30 17:55:10+00:00,0.7401,Long,False,False,False,False
SEIUSDT,2024-01-31 14:20:09+00:00,0.6817,Short,False,False,False,False
1000PEPEUSDT,2024-01-31 14:21:54+00:00,0.0009445,Short,True,True,True,True
MYROUSDT,2024-01-31 14:24:04+00:00,0.1206,Short,False,False,False,False
1000RATSUSDT,2024-02-01 16:28:03+00:00,0.2433,Short,False,False,False,False
MYROUSDT,2024-02-02 19:47:51+00:00,0.0511,Short,False,False,False,False
MYROUSDT,2024-02-07 17:14:43+00:00,0.0552,Short,False,False,False,False
JTOUSDT,2024-02-09 13:18:02+00:00,1.987,Long,True,True,True,True
SEIUSDT,2024-02-13 10:53:21+00:00,0.75,Long,False,False,False,False
MYROUSDT,2024-02-13 10:56:21+00:00,0.0661,Short,False,False,False,False
WIFUSDT,2024-02-14 09:35:27+00:00,0.4174,Long,True,True,True,True
MYROUSDT,2024-02-15 10:44:53+00:00,0.1134,Long,False,False,False,False
1000PEPEUSDT,2024-02-15 10:54:01+00:00,0.00127,Long,True,True,True,True
SEIUSDT,2024-02-25 09:32:14+00:00,0.8323,Short,False,False,False,False
1000RATSUSDT,2024-03-06 08:22:35+00:00,0.4477,Long,False,False,False,False
1000PEPEUSDT,2024-03-11 08:30:31+00:00,0.009135,Long,True,True,True,True
WIFUSDT,2024-03-14 09:23:24+00:00,3.2774,Long,False,False,False,False
MYROUSDT,2024-03-15 08:40:48+00:00,0.3359,Short,False,False,False,False
JTOUSDT,2024-03-15 18:49:05+00:00,3.229,Long,False,False,False,False
WIFUSDT,2024-03-16 15:24:49+00:00,2.4972,Short,False,False,False,False
1000PEPEUSDT,2024-03-16 15:25:12+00:00,0.007701,Short,True,True,True,True
1000RATSUSDT,2024-03-19 14:14:03+00:00,0.2329,Short,False,False,False,False
BAKEUSDT,2024-03-22 09:26:35+00:00,0.4728,Long,False,False,False,False
BAKEUSDT,2024-03-23 09:23:50+00:00,0.4187,Short,False,False,False,False
JTOUSDT,2024-03-23 09:24:45+00:00,2.81,Short,False,False,False,False
WIFUSDT,2024-03-31 09:43:37+00:00,4.8108,Long,False,False,False,False
1000PEPEUSDT,2024-04-01 14:34:41+00:00,0.008001,Short,True,True,True,True
JTOUSDT,2024-04-05 12:04:49+00:00,3.765,Short,False,False,False,False
1000RATSUSDT,2024-04-06 22:37:52+00:00,0.2824,Long,False,False,False,False
BAKEUSDT,2024-04-13 10:34:14+00:00,0.2794,Long,False,False,False,False
WIFUSDT,2024-04-15 18:55:02+00:00,2.5191,Short,False,False,False,False
SEIUSDT,2024-04-16 16:10:36+00:00,0.4571,Short,False,False,False,False
JTOUSDT,2024-04-18 14:15:03+00:00,2.904,Long,False,False,False,False
WIFUSDT,2024-04-19 12:12:20+00:00,2.9317,Long,False,False,False,False
1000RATSUSDT,2024-04-23 12:47:32+00:00,0.1615,Short,False,False,False,False
MYROUSDT,2024-04-26 22:16:14+00:00,0.1575,Short,False,False,False,False
WIFUSDT,2024-04-30 09:40:53+00:00,2.5117,Short,False,False,False,False
WIFUSDT,2024-05-02 11:08:56+00:00,2.7458,Long,False,False,False,False
WIFUSDT,2024-05-03 12:37:28+00:00,2.8898,Long,False,False,False,False
1000PEPEUSDT,2024-05-03 12:48:15+00:00,0.008094,Long,True,True,True,True
BAKEUSDT,2024-05-09 23:45:52+00:00,0.2826,Long,False,False,False,False
SEIUSDT,2024-05-11 08:41:11+00:00,0.5003,Short,False,False,False,False
MYROUSDT,2024-05-11 15:12:45+00:00,0.1575,Long,False,False,False,False
SEIUSDT,2024-05-16 14:37:45+00:00,0.5542,Short,False,False,False,False
JTOUSDT,2024-05-18 22:40:19+00:00,4.498,Short,False,False,False,False
WIFUSDT,2024-05-27 13:02:52+00:00,3.2861,Long,False,False,False,False
1000RATSUSDT,2024-06-05 11:50:10+00:00,0.1735,Long,False,False,False,False
SEIUSDT,2024-06-07 12:17:09+00:00,0.5492,Long,False,False,False,False
WIFUSDT,2024-06-08 11:58:42+00:00,2.695,Short,False,False,False,False
1000000MOGUSDT,2024-06-10 10:47:01+00:00,1.2229,Long,True,True,True,True
BAKEUSDT,2024-06-11 10:22:35+00:00,0.3281,Long,False,False,False,False
1000000MOGUSDT,2024-06-13 09:49:28+00:00,0.8865,Short,True,True,True,True
1000000MOGUSDT,2024-06-15 14:24:17+00:00,0.9353,Long,True,True,True,True
BAKEUSDT,2024-06-19 13:48:43+00:00,0.3409,Short,False,False,False,False
MYROUSDT,2024-06-21 08:30:26+00:00,0.139,Short,False,False,False,False
1000RATSUSDT,2024-06-23 11:52:13+00:00,0.1071,Short,False,False,False,False
BAKEUSDT,2024-06-23 12:00:19+00:00,0.3651,Short,False,False,False,False
WIFUSDT,2024-06-24 21:45:08+00:00,1.7433,Long,False,False,False,False
1000RATSUSDT,2024-06-26 09:54:44+00:00,0.1354,Long,False,False,False,False
LISTAUSDT,2024-07-02 14:19:17+00:00,0.639,Short,False,False,False,False
1000PEPEUSDT,2024-07-03 10:32:16+00:00,0.0105,Short,True,True,True,True
1000RATSUSDT,2024-07-04 23:40:28+00:00,0.1034,Short,False,False,False,False
SEIUSDT,2024-07-09 14:08:53+00:00,0.3187,Long,False,False,False,False
SEIUSDT,2024-07-10 13:35:19+00:00,0.3262,Short,False,False,False,False
MYROUSDT,2024-07-15 22:51:16+00:00,0.1301,Long,False,False,False,False
1000PEPEUSDT,2024-07-15 22:53:29+00:00,0.01104,Long,True,True,True,True
1000RATSUSDT,2024-07-22 11:56:33+00:00,0.1286,Long,False,False,False,False
1000RATSUSDT,2024-07-23 23:19:56+00:00,0.09806,Short,False,False,False,False
LISTAUSDT,2024-07-30 12:03:55+00:00,0.5675,Short,False,False,False,False
WIFUSDT,2024-08-01 16:35:17+00:00,1.8772,Short,False,False,False,False
1000PEPEUSDT,2024-08-01 16:36:15+00:00,0.009951,Short,True,True,True,True
MYROUSDT,2024-08-06 15:58:37+00:00,0.08564,Long,False,False,False,False
SEIUSDT,2024-08-07 13:48:12+00:00,0.2579,Long,False,False,False,False
LISTAUSDT,2024-08-08 16:19:22+00:00,0.368,Long,False,False,False,False
JTOUSDT,2024-08-13 12:22:17+00:00,2.438,Short,False,False,False,False
MYROUSDT,2024-08-14 14:46:39+00:00,0.08046,Short,False,False,False,False
WIFUSDT,2024-08-16 11:04:03+00:00,1.4496,Short,False,False,False,True
LISTAUSDT,2024-08-17 14:09:22+00:00,0.3909,Long,False,False,False,False
BANANAUSDT,2024-08-19 13:39:45+00:00,49.71,Short,False,False,False,False
BAKEUSDT,2024-08-20 16:41:51+00:00,0.2911,Short,False,False,False,False
1000RATSUSDT,2024-08-27 08:39:47+00:00,0.09791,Short,False,False,False,False
JTOUSDT,2024-08-30 11:23:14+00:00,2.311,Short,False,False,False,True
BANANAUSDT,2024-09-07 11:19:48+00:00,40.36,Long,False,False,False,False
WIFUSDT,2024-09-10 13:59:21+00:00,1.6578,Short,False,False,False,False
WIFUSDT,2024-09-11 21:25:05+00:00,1.5496,Short,False,False,False,False
JTOUSDT,2024-09-17 14:24:44+00:00,2.011,Long,True,True,True,True
SEIUSDT,2024-09-18 15:34:03+00:00,0.2659,Short,False,False,False,False
WIFUSDT,2024-09-19 07:19:39+00:00,1.7147,Long,False,False,False,False
BANANAUSDT,2024-09-19 22:40:42+00:00,38.425,Short,False,False,False,False
SEIUSDT,2024-09-19 22:55:44+00:00,0.3361,Long,False,False,False,False
MYROUSDT,2024-09-24 19:48:41+00:00,0.08348,Long,False,False,False,False
MYROUSDT,2024-10-02 10:44:52+00:00,0.07368,Short,False,False,False,False
BANANAUSDT,2024-10-04 00:03:55+00:00,48.513,Long,False,False,False,False
MYROUSDT,2024-10-07 14:22:14+00:00,0.08775,Long,False,False,False,False
1000RATSUSDT,2024-10-08 13:55:29+00:00,0.1359,Short,False,False,False,False
BANANAUSDT,2024-10-10 15:31:24+00:00,50.094,Long,False,False,False,False
LISTAUSDT,2024-10-14 14:15:26+00:00,0.4117,Long,False,False,False,False
1000RATSUSDT,2024-10-14 18:21:03+00:00,0.1438,Long,False,False,False,False
1000PEPEUSDT,2024-10-17 10:24:46+00:00,0.01011,Short,True,True,True,True
1000000MOGUSDT,2024-10-17 19:49:36+00:00,1.9338,Short,False,False,False,False
1000000MOGUSDT,2024-10-18 13:17:52+00:00,2.1277,Long,False,False,False,False
1000000MOGUSDT,2024-10-20 14:10:32+00:00,2.0948,Long,False,False,False,False
1000000MOGUSDT,2024-10-22 17:28:20+00:00,1.9899,Short,False,False,False,False
BANANAUSDT,2024-10-26 17:33:41+00:00,51.639,Short,False,False,False,False
JTOUSDT,2024-10-27 18:47:17+00:00,2.442,Short,False,False,False,False
MYROUSDT,2024-10-29 13:14:19+00:00,0.1127,Short,False,False,False,False
