symbol,first_signal_date,last_signal_date,signal_count,days_active,signals_per_day,first_signal_numeric,score_count,score_recency,final_score
1000RATSUSDT,2023-12-12 15:17:52+00:00,2025-05-17 15:48:45+00:00,27,522,0.05172413793103448,1702394272000000000,0.7391304347826086,0.577636395815855,0.6583834152992318
MYROUSDT,2024-01-29 10:32:38+00:00,2025-04-26 16:29:42+00:00,24,453,0.052980132450331126,1706524358000000000,0.6086956521739131,0.6580956547157933,0.6333956534448533
1000000MOGUSDT,2024-06-10 10:47:01+00:00,2025-05-15 14:43:22+00:00,18,339,0.05309734513274336,1718016421000000000,0.34782608695652173,0.8819754655021551,0.6149007762293384
1000PEPEUSDT,2023-05-06 15:46:42+00:00,2025-03-16 20:29:04+00:00,33,680,0.04852941176470588,1683388002000000000,1.0,0.20737040168107645,0.6036852008405382
WIFUSDT,2024-01-14 22:35:16+00:00,2024-09-19 07:19:39+00:00,23,248,0.09274193548387097,1705271716000000000,0.5652173913043478,0.6336926163802874,0.5994550038423176
LISTAUSDT,2024-07-02 14:19:17+00:00,2025-04-14 17:58:06+00:00,16,286,0.055944055944055944,1719929957000000000,0.2608695652173913,0.9192535484375595,0.5900615568274754
BANANAUSDT,2024-08-19 13:39:45+00:00,2025-03-29 13:01:24+00:00,11,221,0.049773755656108594,1724074785000000000,0.043478260869565216,1.0,0.5217391304347826
SEIUSDT,2023-08-29 22:09:42+00:00,2024-09-19 22:55:44+00:00,23,387,0.059431524547803614,1693346982000000000,0.5652173913043478,0.4013838314738962,0.483300611389122
BAKEUSDT,2023-01-07 01:27:35+00:00,2024-08-20 16:41:51+00:00,31,591,0.05245346869712352,1673054855000000000,0.9130434782608695,0.006067729115875382,0.45955560368837245
JTOUSDT,2023-12-08 08:41:22+00:00,2025-01-19 13:55:45+00:00,18,408,0.04411764705882353,1702024882000000000,0.34782608695652173,0.5704402149990274,0.4591331509777746
