symbol,first_signal_date,last_signal_date,signal_count,days_active,signals_per_day
WIFUSDT,2024-01-14 22:35:16+00:00,2024-09-19 07:19:39+00:00,23,248,0.09274193548387097
DUSKUSDT,2023-02-08 21:59:49+00:00,2023-11-12 09:35:46+00:00,18,276,0.06521739130434782
SEIUSDT,2023-08-29 22:09:42+00:00,2024-09-19 22:55:44+00:00,23,387,0.059431524547803614
BONDUSDT,2023-10-15 22:56:34+00:00,2024-09-20 14:29:44+00:00,20,340,0.058823529411764705
LISTAUSDT,2024-07-02 14:19:17+00:00,2025-04-14 17:58:06+00:00,16,286,0.055944055944055944
TIAUSDT,2023-11-01 18:45:33+00:00,2024-10-04 07:52:51+00:00,18,337,0.05341246290801187
TNSRUSDT,2024-04-12 08:22:42+00:00,2024-12-12 19:07:11+00:00,13,244,0.05327868852459016
1000000MOGUSDT,2024-06-10 10:47:01+00:00,2025-05-15 14:43:22+00:00,18,339,0.05309734513274336
MYROUSDT,2024-01-29 10:32:38+00:00,2025-04-26 16:29:42+00:00,24,453,0.052980132450331126
AUDIOUSDT,2023-02-09 14:40:25+00:00,2023-08-19 10:52:42+00:00,10,190,0.05263157894736842
BAKEUSDT,2023-01-07 01:27:35+00:00,2024-08-20 16:41:51+00:00,31,591,0.05245346869712352
1000RATSUSDT,2023-12-12 15:17:52+00:00,2025-05-17 15:48:45+00:00,27,522,0.05172413793103448
BANANAUSDT,2024-08-19 13:39:45+00:00,2025-03-29 13:01:24+00:00,11,221,0.049773755656108594
TOMOUSDT,2023-01-31 23:09:50+00:00,2023-10-24 08:55:00+00:00,13,265,0.04905660377358491
1000PEPEUSDT,2023-05-06 15:46:42+00:00,2025-03-16 20:29:04+00:00,33,680,0.04852941176470588
CTKUSDT,2023-01-03 10:56:30+00:00,2023-09-08 18:39:05+00:00,12,248,0.04838709677419355
MAVUSDT,2023-06-30 06:35:42+00:00,2024-06-22 19:00:25+00:00,16,358,0.0446927374301676
IOUSDT,2024-06-13 11:34:11+00:00,2025-01-24 16:16:04+00:00,10,225,0.044444444444444446
JTOUSDT,2023-12-08 08:41:22+00:00,2025-01-19 13:55:45+00:00,18,408,0.04411764705882353
UNFIUSDT,2023-06-13 10:01:19+00:00,2024-08-20 14:23:16+00:00,19,434,0.04377880184331797
